gene_name,highly_variable,highly_variable_rank,means,variances,variances_norm,highly_variable_nbatches,variances_norm_rank,isPresentInAll,isPredicted
IFT172,True,7366.0,1.2375801331922573,2.119769282967269,0.9798336877374937,18.0,6820.0,True,False
NIFK,True,7678.5,0.903939752287297,1.5215936349291839,0.9977240033689156,18.0,7216.0,True,False
TSN,True,2720.0,2.683786643430634,8.737747804205796,1.079235404680546,18.0,1820.0,True,True
ACVR2A,True,11757.0,0.6368457085952574,0.8406818620080918,0.9479456790647115,18.0,12680.0,True,False
ORC4,True,10814.0,1.3424659239434866,2.5370338524219727,0.9709386147055591,18.0,11260.0,True,False
MBD5,True,13500.0,0.795693035414203,1.0600705777162014,0.9210939189075318,18.0,14559.0,True,False
RGPD5,,,,,,,,False,False
MALL,True,1660.5,0.10915541171344993,0.1425774416148176,1.1456519234300602,18.0,1061.0,True,True
NPHP1,True,11415.0,0.1566565009024709,0.17080536181619743,0.9524055973402414,18.0,12175.0,True,False
LCLAT1,True,7972.0,1.0575465239310389,1.742785899119511,0.9808969332748612,18.0,7613.0,True,False
NOSTRIN,True,3314.0,0.08732183979585485,0.09919134231872032,1.034791127102919,18.0,2274.0,True,True
WDSUB1,True,11943.5,1.1177071015124167,1.782818752310337,0.9556774517760398,18.0,12951.0,True,False
EHBP1,True,10159.5,1.2397585112342067,3.197214271853984,0.9682473267886651,18.0,10355.0,True,False
VRK2,True,10437.5,1.3687682828157093,2.3301247245448327,0.9668033296107406,18.0,10736.0,True,False
STON1,,,,,,,,False,False
ERMN,True,7757.0,0.017626190328001494,0.01863521441102833,0.9842293609940206,18.0,7320.0,True,False
CERS6,True,10640.0,0.9031057446940934,1.328201945834875,0.9677523505090626,18.0,11009.0,True,False
UBE2F,,,,,,,,False,False
DYNC1I2,True,13095.0,2.6444762556793426,5.99699861003383,0.9365800949494812,18.0,14283.0,True,False
MTA3,True,11105.5,2.3878508744631852,5.032282003304654,0.9630173759203609,18.0,11702.0,True,False
IDH1,,,,,,,,False,False
EIPR1,True,11051.0,0.8954378539864318,1.2907570639266814,0.9611838286544125,18.0,11622.0,True,False
MYO3B,True,6826.5,0.006746747992780233,0.006850689155126263,0.9941940036322108,18.0,6125.0,True,False
TIGD1,True,11825.5,0.2946909815149063,0.34522724753673545,0.9569772291895116,18.0,12786.0,True,False
CFAP36,True,12028.0,0.5344868363726893,0.6939054972966547,0.9408830528712561,18.0,13071.0,True,False
CCDC150,True,10040.5,0.09562457210431319,0.10318684538420426,0.9666915001851013,18.0,10187.0,True,False
GTF3C3,True,10712.0,2.8447127652953257,8.627378093298718,0.9744802194842036,18.0,11099.0,True,False
C2orf66,,,,,,,,False,False
PGAP1,True,9848.5,0.734561523619842,2.907832174791116,1.0530709470074249,18.0,9938.0,True,False
IL1R1,True,627.5,0.7812908445882866,1.6726825520877362,1.27538372401555,18.0,361.0,True,True
IL1RL2,True,8092.0,0.009223875023339765,0.009313181325562095,0.9915269669603384,18.0,7745.0,True,False
IL1RL1,True,4131.5,0.011066160453102632,0.012885729371837476,1.0992796433064658,18.0,2907.0,True,True
SLC9A4,,,,,,,,False,False
LIPT1,True,12787.5,0.33640380904960476,0.4149387191031747,0.934702950316821,18.0,14003.0,True,False
MITD1,True,11238.0,1.4169291093545777,2.447648273598697,0.9548501936299358,18.0,11890.0,True,False
MRPL30,,,,,,,,False,False
LYG1,True,12495.5,0.11572788946287421,0.1214314961493721,0.9416903139902245,18.0,13699.0,True,False
